id,domain,source_name,data_type,chart_type,question_type,difficulty,question,answer,numeric_answer,unit,split,chart_path,table_num_rows,table_columns
trdab_pilot_00001,transportation,synthetic_pilot,table,line,value_lookup,easy,2021 yılında yolcu sayısı kaçtır?,2021 yılında yolcu sayısı 1.283.278 kişi olarak verilmiştir.,1283278.0,kişi,train,charts/pilot/table_001.png,5,"Yıl, Yolcu Sayısı"
trdab_pilot_00002,transportation,synthetic_pilot,table,line,max_min,easy,Tabloda yolcu sayısı en yüksek hangi yıldadır?,Yolcu sayısı en yüksek 2024 yılındadır. Bu yıldaki değer 1.669.256 kişi olarak verilmiştir.,1669256.0,kişi,train,charts/pilot/table_001.png,5,"Yıl, Yolcu Sayısı"
trdab_pilot_00003,transportation,synthetic_pilot,table,line,comparison,medium,"2024 yılındaki yolcu sayısı, 2021 yılına göre kaç kişi farklıdır?","2024 yılındaki yolcu sayısı, 2021 yılına göre 385.978 kişi fazladır.",385978.0,kişi,train,charts/pilot/table_001.png,5,"Yıl, Yolcu Sayısı"
trdab_pilot_00004,transportation,synthetic_pilot,table,line,percentage_change,medium,2020'den 2024'e yolcu sayısı yaklaşık yüzde kaç değişmiştir?,"2020'den 2024'e yolcu sayısı yaklaşık %42,1 artmıştır.",42.1,percent,train,charts/pilot/table_001.png,5,"Yıl, Yolcu Sayısı"
trdab_pilot_00005,transportation,synthetic_pilot,table,line,trend_summary,medium,Bu tabloya göre yolcu sayısı için genel eğilim nedir?,"Tablo genel olarak yolcu sayısı için artış eğilimi göstermektedir. 2020 yılında 1.174.592 kişi olan değer, 2024 yılında 1.669.256 kişi seviyesine çıkmıştır.",,kişi,train,charts/pilot/table_001.png,5,"Yıl, Yolcu Sayısı"
trdab_pilot_00006,economy,synthetic_pilot,table,line,value_lookup,easy,2020 yılında ihracat değeri kaçtır?,2020 yılında ihracat değeri 185 milyon dolar olarak verilmiştir.,185.0,milyon dolar,train,charts/pilot/table_002.png,5,"Yıl, Ihracat Değeri"
trdab_pilot_00007,economy,synthetic_pilot,table,line,max_min,easy,Tabloda ihracat değeri en yüksek hangi yıldadır?,Ihracat değeri en yüksek 2024 yılındadır. Bu yıldaki değer 254 milyon dolar olarak verilmiştir.,254.0,milyon dolar,train,charts/pilot/table_002.png,5,"Yıl, Ihracat Değeri"
trdab_pilot_00008,economy,synthetic_pilot,table,line,comparison,medium,"2024 yılındaki ihracat değeri, 2021 yılına göre kaç milyon dolar farklıdır?","2024 yılındaki ihracat değeri, 2021 yılına göre 61 milyon dolar fazladır.",61.0,milyon dolar,train,charts/pilot/table_002.png,5,"Yıl, Ihracat Değeri"
trdab_pilot_00009,economy,synthetic_pilot,table,line,percentage_change,medium,2020'den 2024'e ihracat değeri yaklaşık yüzde kaç değişmiştir?,"2020'den 2024'e ihracat değeri yaklaşık %37,3 artmıştır.",37.3,percent,train,charts/pilot/table_002.png,5,"Yıl, Ihracat Değeri"
trdab_pilot_00010,economy,synthetic_pilot,table,line,trend_summary,medium,Bu tabloya göre ihracat değeri için genel eğilim nedir?,"Tablo genel olarak ihracat değeri için artış eğilimi göstermektedir. 2020 yılında 185 milyon dolar olan değer, 2024 yılında 254 milyon dolar seviyesine çıkmıştır.",,milyon dolar,train,charts/pilot/table_002.png,5,"Yıl, Ihracat Değeri"
trdab_pilot_00011,education,synthetic_pilot,table,line,value_lookup,easy,2021 yılında öğrenci sayısı kaçtır?,2021 yılında öğrenci sayısı 26.232 öğrenci olarak verilmiştir.,26232.0,öğrenci,train,charts/pilot/table_003.png,5,"Yıl, Öğrenci Sayısı"
trdab_pilot_00012,education,synthetic_pilot,table,line,max_min,easy,Tabloda öğrenci sayısı en yüksek hangi yıldadır?,Öğrenci sayısı en yüksek 2024 yılındadır. Bu yıldaki değer 29.495 öğrenci olarak verilmiştir.,29495.0,öğrenci,train,charts/pilot/table_003.png,5,"Yıl, Öğrenci Sayısı"
